Gene,Importance,symbol,name
ENSG00000172465,3.444282803466569e-05,TCEAL1,transcription elongation factor A like 1
ENSG00000169223,3.4342598024566165e-05,LMAN2,"lectin, mannose binding 2"
ENSG00000206503,3.424252496197619e-05,HLA-A,"major histocompatibility complex, class I, A"
ENSG00000135940,3.4100145648824214e-05,COX5B,cytochrome c oxidase subunit 5B
ENSG00000156675,3.406397745523599e-05,RAB11FIP1,RAB11 family interacting protein 1
ENSG00000125304,3.402671214739259e-05,TM9SF2,transmembrane 9 superfamily member 2
ENSG00000143556,3.37874971619726e-05,S100A7,S100 calcium binding protein A7
ENSG00000170348,3.361972921701496e-05,TMED10,transmembrane p24 trafficking protein 10
ENSG00000142937,3.354516827165547e-05,RPS8,ribosomal protein S8
ENSG00000137331,3.353051706244112e-05,IER3,immediate early response 3
ENSG00000204628,3.3256801875763694e-05,RACK1,receptor for activated C kinase 1
ENSG00000138449,3.3178865011015493e-05,SLC40A1,solute carrier family 40 member 1
ENSG00000265735,3.304392134081846e-05,RN7SL5P,"RNA, 7SL, cytoplasmic 5, pseudogene"
ENSG00000135413,3.2977696918577866e-05,LACRT,lacritin
ENSG00000104879,3.2943166433443185e-05,CKM,"creatine kinase, M-type"
ENSG00000182899,3.29215648334531e-05,RPL35A,ribosomal protein L35a
ENSG00000233622,3.2472150606431755e-05,CYP2T1P,"cytochrome P450 family 2 subfamily T member 1, pseudogene"
ENSG00000205542,3.192018855570714e-05,TMSB4X,thymosin beta 4 X-linked
ENSG00000136235,3.183695478414345e-05,GPNMB,glycoprotein nmb
ENSG00000211611,3.1754112124189505e-05,IGKV6-21,immunoglobulin kappa variable 6-21 (non-functional)
ENSG00000207175,3.140216672384339e-05,RNU1-67P,"RNA, U1 small nuclear 67, pseudogene"
ENSG00000225698,3.127571199485984e-05,IGHV3-72,immunoglobulin heavy variable 3-72
ENSG00000175352,3.120852574164152e-05,NRIP3,nuclear receptor interacting protein 3
ENSG00000065154,3.116494510670078e-05,OAT,ornithine aminotransferase
ENSG00000138821,3.105122177609038e-05,SLC39A8,solute carrier family 39 member 8
ENSG00000100075,3.087923673542248e-05,SLC25A1,solute carrier family 25 member 1
ENSG00000177791,3.085546062627479e-05,MYOZ1,myozenin 1
ENSG00000236824,3.0771369084050595e-05,BCYRN1,brain cytoplasmic RNA 1
ENSG00000178719,3.0655951337137265e-05,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1
ENSG00000034510,3.061244963909512e-05,TMSB10,thymosin beta 10
ENSG00000210082,3.060523085157026e-05,MT-RNR2,l-rRNA
ENSG00000204580,3.0316711443057765e-05,DDR1,discoidin domain receptor tyrosine kinase 1
ENSG00000277443,3.024358568683049e-05,MARCKS,myristoylated alanine rich protein kinase C substrate
ENSG00000175215,3.0219140919055443e-05,CTDSP2,CTD small phosphatase 2
ENSG00000178934,3.0201109894533345e-05,LGALS7B,galectin 7B
ENSG00000118680,3.0055545880908685e-05,MYL12B,myosin light chain 12B
ENSG00000109436,2.9935594821933893e-05,TBC1D9,TBC1 domain family member 9
ENSG00000229453,2.992207563813769e-05,SPINK8,serine peptidase inhibitor Kazal type 8 (putative)
ENSG00000136457,2.98627602213765e-05,CHAD,chondroadherin
ENSG00000013583,2.98246681215618e-05,HEBP1,heme binding protein 1
ENSG00000169442,2.978236070934794e-05,CD52,CD52 molecule
ENSG00000189001,2.9636764028173927e-05,SBSN,suprabasin
